STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WSF2,WSF5
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/1/2021,,,,1.95,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/2/2021,,,,0.21,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/3/2021,,,,0.36,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/4/2021,,,,0.01,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/5/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/6/2021,,,,0.01,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/7/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/8/2021,,,,0.78,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/9/2021,,,,0.01,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/10/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/11/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/12/2021,,,,0.43,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/13/2021,,,,0.01,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/14/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/15/2021,,,,0.02,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/16/2021,,,,0.23,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/17/2021,,,,0.01,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/18/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/19/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/20/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/21/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/22/2021,,,,0.01,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/23/2021,,,,0.02,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/24/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/25/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/26/2021,,,,0.23,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/27/2021,,,,0.53,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/28/2021,,,,0.64,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/29/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/30/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,1/31/2021,,,,0.03,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/1/2021,,,,1.68,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/2/2021,,,,0.38,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/3/2021,,,,0.01,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/4/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/5/2021,,,,0.03,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/6/2021,,,,0.07,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/7/2021,,,,0.79,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/8/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/9/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/10/2021,,,,0.15,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/11/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/12/2021,,,,0.16,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/13/2021,,,,0.59,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/14/2021,,,,0.76,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/15/2021,,,,1.01,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/16/2021,,,,0.46,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/17/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/18/2021,,,,0.04,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/19/2021,,,,2.86,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/20/2021,,,,0.4,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/21/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/22/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/23/2021,,,,0.22,",,N",,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/24/2021,,,,0.01,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/25/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/26/2021,,,,0,",,N",0,,,,,,,,
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,8.5,2/27/2021,,,,0,",,N",0,,,,,,,,
