Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1913,1,-0.179,-0.19,-0.181,-0.199
1913,2,-0.111,-0.19,-0.181,-0.199
1913,3,-0.166,-0.19,-0.18,-0.199
1913,4,-0.13,-0.189,-0.18,-0.199
1913,5,-0.151,-0.189,-0.18,-0.198
1913,6,-0.122,-0.189,-0.18,-0.198
1913,7,-0.161,-0.189,-0.18,-0.198
1913,8,-0.117,-0.189,-0.179,-0.198
1913,9,-0.174,-0.188,-0.179,-0.197
1913,10,-0.207,-0.188,-0.179,-0.197
1913,11,-0.217,-0.188,-0.179,-0.197
1913,12,-0.168,-0.188,-0.179,-0.197
1914,1,-0.163,-0.188,-0.178,-0.197
1914,2,-0.19,-0.187,-0.178,-0.196
1914,3,-0.23,-0.187,-0.178,-0.196
1914,4,-0.191,-0.187,-0.178,-0.196
1914,5,-0.087,-0.187,-0.178,-0.196
1914,6,-0.134,-0.186,-0.177,-0.195
1914,7,-0.197,-0.186,-0.177,-0.195
1914,8,-0.114,-0.186,-0.177,-0.195
1914,9,-0.134,-0.186,-0.177,-0.195
1914,10,-0.25,-0.186,-0.177,-0.195
1914,11,-0.211,-0.185,-0.176,-0.194
1914,12,-0.122,-0.185,-0.176,-0.194
1915,1,-0.115,-0.185,-0.176,-0.194
1915,2,-0.114,-0.185,-0.176,-0.194
1915,3,-0.132,-0.185,-0.176,-0.193
1915,4,-0.166,-0.184,-0.176,-0.193
1915,5,-0.208,-0.184,-0.175,-0.193
1915,6,-0.177,-0.184,-0.175,-0.193
1915,7,-0.176,-0.184,-0.175,-0.193
1915,8,-0.184,-0.184,-0.175,-0.192
1915,9,-0.174,-0.183,-0.175,-0.192
1915,10,-0.21,-0.183,-0.174,-0.192
1915,11,-0.19,-0.183,-0.174,-0.192
1915,12,-0.198,-0.183,-0.174,-0.192
1916,1,-0.173,-0.183,-0.174,-0.191
1916,2,-0.129,-0.182,-0.174,-0.191
1916,3,-0.205,-0.182,-0.173,-0.191
1916,4,-0.178,-0.182,-0.173,-0.191
1916,5,-0.132,-0.182,-0.173,-0.19
1916,6,-0.201,-0.181,-0.173,-0.19
1916,7,-0.136,-0.181,-0.173,-0.19
1916,8,-0.163,-0.181,-0.172,-0.19
1916,9,-0.162,-0.181,-0.172,-0.19
1916,10,-0.113,-0.181,-0.172,-0.189
1916,11,-0.129,-0.18,-0.172,-0.189
1916,12,-0.159,-0.18,-0.172,-0.189
1917,1,-0.206,-0.18,-0.171,-0.189
1917,2,-0.169,-0.18,-0.171,-0.188
1917,3,-0.038,-0.18,-0.171,-0.188
1917,4,-0.075,-0.179,-0.171,-0.188
1917,5,-0.138,-0.179,-0.171,-0.188
1917,6,-0.171,-0.179,-0.17,-0.188
1917,7,-0.203,-0.179,-0.17,-0.187
1917,8,-0.239,-0.179,-0.17,-0.187
1917,9,-0.134,-0.178,-0.17,-0.187
1917,10,-0.106,-0.178,-0.17,-0.187
1917,11,-0.074,-0.178,-0.169,-0.186
1917,12,-0.092,-0.178,-0.169,-0.186
1918,1,-0.151,-0.178,-0.169,-0.186
1918,2,-0.214,-0.177,-0.169,-0.186
1918,3,-0.15,-0.177,-0.169,-0.186
1918,4,-0.096,-0.177,-0.168,-0.185
1918,5,-0.138,-0.177,-0.168,-0.185
1918,6,-0.165,-0.176,-0.168,-0.185
1918,7,-0.164,-0.176,-0.168,-0.185
1918,8,-0.172,-0.176,-0.168,-0.185
1918,9,-0.192,-0.176,-0.167,-0.184
1918,10,-0.25,-0.176,-0.167,-0.184
1918,11,-0.177,-0.175,-0.167,-0.184
1918,12,-0.122,-0.175,-0.167,-0.184
1919,1,-0.173,-0.175,-0.167,-0.183
1919,2,-0.196,-0.175,-0.166,-0.183
1919,3,-0.144,-0.175,-0.166,-0.183
1919,4,-0.191,-0.174,-0.166,-0.183
1919,5,-0.19,-0.174,-0.166,-0.183
1919,6,-0.149,-0.174,-0.166,-0.182
1919,7,-0.145,-0.174,-0.165,-0.182
1919,8,-0.175,-0.174,-0.165,-0.182
1919,9,-0.147,-0.173,-0.165,-0.182
1919,10,-0.164,-0.173,-0.165,-0.181
1919,11,-0.15,-0.173,-0.165,-0.181
1919,12,-0.156,-0.173,-0.164,-0.181
1920,1,-0.218,-0.172,-0.164,-0.181
1920,2,-0.144,-0.172,-0.164,-0.181
1920,3,-0.294,-0.172,-0.164,-0.18
1920,4,-0.206,-0.172,-0.164,-0.18
1920,5,-0.19,-0.172,-0.163,-0.18
1920,6,-0.146,-0.171,-0.163,-0.18
1920,7,-0.157,-0.171,-0.163,-0.179
1920,8,-0.193,-0.171,-0.163,-0.179
1920,9,-0.183,-0.171,-0.163,-0.179
1920,10,-0.204,-0.171,-0.162,-0.179
1920,11,-0.193,-0.17,-0.162,-0.179
1920,12,-0.162,-0.17,-0.162,-0.178
1921,1,-0.157,-0.17,-0.162,-0.178
