"","ID","TYPE","LENGTH","DIAMETER","INVERT_Z1","INVERT_Z2","MATERIAL","MUNIC_NAME","BASIN","Shape__Length","SOURCEDATE","Year","Month"
"1","3053D000P256","PIPE",20,"36",1.47,1.34,"SOLID PIPE","UNINCORPORATED MIAMI-DADE","C4",8.10773091,"Jan-11","11","Jan"
"2","3053D000P257","PIPE",100,"36",-1.55,-1.5,"CORRUGATED PERFORATED METAL PIPE","UNINCORPORATED MIAMI-DADE","C4",34.19406003,"Jan-11","11","Jan"
"3","3053D000P259","PIPE",9,"15",1.64,0.6,"CORRUGATED METAL PIPE","UNINCORPORATED MIAMI-DADE","C4",3.012679717,"Jan-11","11","Jan"
"4","4003D008P258","PIPE",40,"15",2.28,1.2,"CORRUGATED METAL PIPE","UNINCORPORATED MIAMI-DADE","C4",14.26258567,"Jan-11","11","Jan"
"5","3053D000P264","PIPE",10,"18",0.53,0.15,"CORRUGATED METAL PIPE","UNINCORPORATED MIAMI-DADE","C4",3.985752206,"Jan-11","11","Jan"
"6","4003D008P261","PIPE",40,"15",NA,-0.45,"CORRUGATED METAL PIPE","UNINCORPORATED MIAMI-DADE","C4",14.43740718,"Jan-11","11","Jan"
"7","3053D000P260","PIPE",105,"36",-1.4,-1.15,"CORRUGATED PERFORATED METAL PIPE","UNINCORPORATED MIAMI-DADE","C4",36.02913165,"Jan-11","11","Jan"
"8","4003D035P239","PIPE",30,"18",0.65,0.45,"CORRUGATED METAL PIPE","UNINCORPORATED MIAMI-DADE","C4",11.34810611,"Jan-11","11","Jan"
"9","3053D000P242","PIPE",8,"15",1.05,0.53,"CORRUGATED METAL PIPE","UNINCORPORATED MIAMI-DADE","C4",3.004801132,"Jan-11","11","Jan"
"10","4003D035P241","PIPE",45,"15",1.35,0.25,"CORRUGATED METAL PIPE","UNINCORPORATED MIAMI-DADE","C4",15.86016148,"Jan-11","11","Jan"
"11","4003D035P240","PIPE",73,"24",0.45,0.45,"CORRUGATED PERFORATED METAL PIPE","UNINCORPORATED MIAMI-DADE","C4",30.85252066,"Jan-11","11","Jan"
"12","3053D101P022","PIPE",27.85,"24",0.45,0.03,"SOLID PIPE","UNINCORPORATED MIAMI-DADE","C4",9.390379252,"Jan-11","11","Jan"
"13","3053D101P098","PIPE",7.16,"18",0.88,-0.17,"SOLID PIPE","UNINCORPORATED MIAMI-DADE","C4",2.391742413,"Jan-11","11","Jan"
"14","3053D101P099","PIPE",50,"24",-0.07,-0.43,"SOLID PIPE","UNINCORPORATED MIAMI-DADE","C4",18.03123193,"Jan-11","11","Jan"
"15","3053D000P106","PIPE",10,"24",2.25,1.8,"SOLID PIPE","UNINCORPORATED MIAMI-DADE","C4",3.614111047,"Jan-11","11","Jan"
"16","3053D101P104","PIPE",20,"24",1.14,1.66,"SOLID PIPE","UNINCORPORATED MIAMI-DADE","C4",6.741345227,"Jan-11","11","Jan"
"17","3053D101P100","PIPE",10,"24",-0.03,0.41,"SOLID PIPE","UNINCORPORATED MIAMI-DADE","C4",8.038110033,"Jan-11","11","Jan"
"18","3053D101P103","PIPE",193.98,"24",0.01,0.73,"CORRUGATED PERFORATED METAL PIPE","UNINCORPORATED MIAMI-DADE","C4",66.07236164,"Jan-11","11","Jan"
"19","3053D000P107","PIPE",268,"24",0.4,0.43,"SOLID PIPE","UNINCORPORATED MIAMI-DADE","C4",89.26501595,"Jan-11","11","Jan"
"20","3053D000P108","PIPE",18.5,"24",-3.43,-3.51,"SOLID PIPE","UNINCORPORATED MIAMI-DADE","C4",5.757614233,"Jan-11","11","Jan"
"21","3053D000P237","PIPE",175,"24",0.52,-1.35,"SOLID PIPE","UNINCORPORATED MIAMI-DADE","C4",60.75636544,"Jan-11","11","Jan"
"22","3053D000P238","PIPE",140,"24",-2.14,-1.35,"CORRUGATED METAL PIPE","UNINCORPORATED MIAMI-DADE","C4",47.84194085,"Jan-11","11","Jan"
"23","3053D000P105","PIPE",15.5,"24",-0.3,-0.27,"SOLID PIPE","UNINCORPORATED MIAMI-DADE","C4",6.296428996,"Jan-11","11","Jan"
"24","3053D101P101","PIPE",202,"24",-0.43,-0.34,"SOLID PIPE","UNINCORPORATED MIAMI-DADE","C4",66.47523359,"Jan-11","11","Jan"
"25","3053D101P102","PIPE",15,"24",-0.05,1.08,"SOLID PIPE","UNINCORPORATED MIAMI-DADE","C4",6.815664494,"Jan-11","11","Jan"
"26","3053D000P086","PIPE",75.96,"24",-0.88,0.77,"SOLID PIPE","UNINCORPORATED MIAMI-DADE","C4",25.06117636,"Jan-11","11","Jan"
"27","3053D000P085","PIPE",7.56,"15",0.66,-0.38,"SOLID PIPE","UNINCORPORATED MIAMI-DADE","C4",2.116886348,"Jan-11","11","Jan"
"28","3053D101P111","PIPE",14.98,"24",0.63,1.37,"SOLID PIPE","UNINCORPORATED MIAMI-DADE","C4",5.328907373,"Jan-11","11","Jan"
"29","3053D101P110","PIPE",48.74,"24",0.02,0.38,"SOLID PIPE","UNINCORPORATED MIAMI-DADE","C4",17.37849428,"Jan-11","11","Jan"
"30","3053D101P109","PIPE",210,"24",0.53,0.2,"CORRUGATED PERFORATED METAL PIPE","UNINCORPORATED MIAMI-DADE","C4",72.0312348,"Jan-11","11","Jan"
